X,Y,code,plant_name,capacity_mw,fuel_src_primary,primary_output,fuel_src_secondary,secondary_output
-122.2594,46.0594,6265,Swift 2,65,Hydro,65,,
-93.1235,36.65899,6280,Ozark Beach,16,Hydro,16,,
-152.39675,57.78968,6281,Kodiak,22.3,Petroleum,22.3,,
-152.4058,57.7911,6282,Port Lions,0.9,Petroleum,0.9,,
-151.71349,59.43959,6283,Seldovia,2.4,Petroleum,2.4,,
-147.3481,64.7356,6285,North Pole,145,Petroleum,145,,
-147.71935,64.85417,6286,Fairbanks,36.1,Petroleum,36.1,,
-148.95,63.8542,6288,Healy,27.8,Coal,25,Petroleum,2.8
-149.6656,60.39233,6291,Cooper Lake,19.4,Hydro,19.4,,
-151.3874,60.6935,6292,Bernice Lake,62.4,Natural Gas,62.4,,
-149.91104,61.16897,6293,International,41.9,Natural Gas,41.9,,
-160.9006,63.5325,6299,Unalakleet,1.6,Petroleum,1.6,,
-156.7319,58.8128,6301,Naknek,9.9,Petroleum,9.9,,
-131.54498,55.09126,6302,Purple Lake,3.9,Hydro,3.9,,
-162.55694,66.83778,6304,Kotzebue,15.2,Petroleum,10.5,Wind,4.7
-146.5494,61.9769,6305,Glennallen,10.5,Petroleum,10.5,,
-146.3647,61.1303,6306,Valdez,8.6,Petroleum,8.6,,
-161.78972,60.78889,6314,Emmonak,2.4,Petroleum,2.4,,
-166.1003,61.5208,6319,Hooper Bay,1.6,Petroleum,1.6,,
-160.5053,67.5683,6323,Kiana,1.2,Petroleum,1.2,,
-163.0783,62.1656,6329,Mountain Village,1.7,Petroleum,1.7,,
-160.4958,66.8553,6330,Noorvik,1,Petroleum,1,,
-163.2658,62.0636,6338,St Marys,2,Petroleum,2,,
-160.1431,66.5569,6341,Selawik,1.6,Petroleum,1.6,,
-165.1108,65.0853,6345,Shishmaref,1.4,Petroleum,1.4,,
-160.385,59.2281,6348,Togiak,2.1,Petroleum,2.1,,
-86.10358,42.79265,6356,Sixth Street,16,Petroleum,16,,
-94.34935,44.88888,6358,Hutchinson Plant #2,73,Natural Gas,73,,
-111.28332,43.91348,6359,Felt,6.9,Hydro,6.9,,
-84.3847,46.3292,6369,Detour,5,Petroleum,5,,
-96.7364,40.7316,6373,Rokeby,258,Natural Gas,255,Petroleum,3
-75.97972,35.10944,6377,Ocracoke,3,Petroleum,3,,
-72.61095,42.1495,6378,Dwight,1.3,Hydro,1.3,,
-72.50763,42.16095,6379,Indian Orchard,3.7,Hydro,3.7,,
-72.56146,42.60804,6388,Turners Falls,6.4,Hydro,6.4,,
-75.9915,37.8277,6390,Tangier,3.8,Petroleum,3.8,,
-76.0353,37.9933,6391,Smith Island,1.6,Petroleum,1.6,,
-110.89342,42.90514,6393,Strawberry Creek,1.5,Hydro,1.5,,
-110.91659,42.72844,6394,Swift Creek,1.7,Hydro,1.7,,
-115.45152,43.35707,6395,Anderson Ranch,40,Hydro,40,,
-116.43717,43.93046,6396,Black Canyon,10.2,Hydro,10.2,,
-116.09376,43.53768,6397,Boise R Diversion,3.3,Hydro,3.3,,
-113.48317,42.6699,6398,Minidoka,27.7,Hydro,27.7,,
-111.72787,46.64903,6400,Canyon Ferry,57.6,Hydro,57.6,,
-107.19197,33.15336,6402,Elephant Butte,27.9,Hydro,27.9,,
-122.5479,42.12117,6403,Green Springs,17.2,Hydro,17.2,,
-111.52845,40.40435,6404,Deer Creek,5.4,Hydro,5.4,,
-109.42166,40.91465,6405,Flaming Gorge,151.8,Hydro,151.8,,
-119.58982,46.26678,6406,Chandler,12,Hydro,12,,
-120.47776,46.61841,6407,Roza,12.9,Hydro,12.9,,
-109.12959,44.51377,6408,Heart Mountain,5,Hydro,5,,
-106.71754,42.54841,6409,Alcova,41.4,Hydro,41.4,,
-99.1642,26.5575,6410,Falcon Dam & Power,30.5,Hydro,30.5,,
-94.1062,31.06089,6413,Sam Rayburn,52,Hydro,52,,
-97.3667,31.8694,6414,Whitney,36,Hydro,36,,
-94.6844,34.1387,6415,Broken Bow,115,Hydro,115,,
-96.5692,33.8181,6416,Denison,80,Hydro,80,,
-85.8274,36.0972,6417,Center Hill,156,Hydro,156,,
-87.2219,36.3208,6418,Cheatham,41.4,Hydro,41.4,,
-95.3572,35.3069,6419,Eufaula Dam,103.5,Hydro,103.5,,
